GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
randoop-recreation,com.woops,Pair,9,0,0,0,4,0,1,0,1,0
randoop-recreation,com.woops,Sequence,400,0,38,0,86,0,38,0,18,0
randoop-recreation,com.woops,MethodCall,171,0,16,0,34,0,12,0,4,0
randoop-recreation,com.woops,SequencePool,155,0,24,0,28,0,17,0,5,0
randoop-recreation,com.woops,DefaultEqualsContract,36,0,6,0,8,0,6,0,3,0
randoop-recreation,com.woops,ConstructorCall,114,0,6,0,25,0,7,0,4,0
randoop-recreation,com.woops,DefaultToStringContract,30,0,4,0,7,0,5,0,3,0
randoop-recreation,com.woops,ContractOutcome,41,0,2,0,10,0,8,0,7,0
randoop-recreation,com.woops,ContractViolationException,4,0,0,0,1,0,1,0,1,0
randoop-recreation,com.woops,Argument,32,0,2,0,11,0,6,0,5,0
randoop-recreation,com.woops,Statement,35,0,4,0,11,0,8,0,6,0
randoop-recreation,com.woops,DefaultHashCodeContract,30,0,4,0,7,0,5,0,3,0
randoop-recreation,com.woops,Invocation,27,0,0,0,10,0,5,0,5,0
randoop-recreation,com.woops,Main,348,0,34,0,74,0,21,0,4,0
randoop-recreation,com.woops,SequenceGenerator,745,0,82,0,159,0,47,0,6,0
randoop-recreation,com.woops,NoAssertionErrorContract,42,0,8,0,9,0,7,0,3,0
randoop-recreation,com.woops,NoUnexpectedNpeContract,67,0,14,0,12,0,10,0,3,0
randoop-recreation,com.woops,ContractChecker,83,0,12,0,19,0,9,0,3,0
randoop-recreation,com.woops,ContractOutcome.Status,34,0,0,0,1,0,1,0,1,0
randoop-recreation,com.woops,ConstantAssignment,47,0,4,0,12,0,6,0,4,0
randoop-recreation,com.woops.filters,ExceptionFilter,12,0,2,0,3,0,4,0,3,0
randoop-recreation,com.woops.filters,FilterLoader,79,0,4,0,20,0,4,0,2,0
randoop-recreation,com.woops.filters,NullFilter,30,0,4,0,6,0,5,0,3,0
randoop-recreation,com.woops.filters,EqualityFilter,12,0,0,0,4,0,3,0,3,0
randoop-recreation,com.demo,TreeMap.Entry,69,119,9,15,13,28,11,7,2,4
randoop-recreation,com.demo,Node,115,21,16,0,21,8,12,1,4,1
randoop-recreation,com.demo,FibHeap,629,282,59,29,155,73,43,23,5,17
randoop-recreation,com.demo,TestClass,25,0,0,0,8,0,8,0,8,0
randoop-recreation,com.demo,TreeMap,912,299,135,41,248,84,85,30,10,17
randoop-recreation,com.demo,BinomialHeap.BinomialHeapNode,69,77,10,8,20,26,18,6,10,5
randoop-recreation,com.demo,BinomialHeap,227,397,33,53,63,113,25,32,1,13
randoop-recreation,com.demo,BinTree,199,179,32,20,53,53,19,15,0,8
randoop-recreation,com.demo,BTNode,0,12,0,0,0,5,0,1,0,1
